,attraction,rate,reviews,attraction_url,reviews_url
61,62. Hijama Marrakech Cupping Therapy Services,5.0,68,/Attraction_Review-g293734-d24915475-Reviews-Hijama_Marrakech_Cupping_Therapy_Services-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d24915475-Reviews-Hijama_Marrakech_Cupping_Therapy_Services-Marrakech_Marrakech_Safi.html
62,63. Shared Morocco Desert Tours,5.0,92,/Attraction_Review-g293734-d19905756-Reviews-Shared_Morocco_Desert_Tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d19905756-Reviews-Shared_Morocco_Desert_Tours-Marrakech_Marrakech_Safi.html
63,64. Click Excursions,5.0,"9,085",/Attraction_Review-g293734-d3400210-Reviews-Click_Excursions-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d3400210-Reviews-Click_Excursions-Marrakech_Marrakech_Safi.html
64,65. Peter Brings You Everywhere,5.0,209,/Attraction_Review-g293734-d18379656-Reviews-Peter_Brings_You_Everywhere-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d18379656-Reviews-Peter_Brings_You_Everywhere-Marrakech_Marrakech_Safi.html
65,66. Moroccan Cooking Classes at Dar Chef,5.0,72,/Attraction_Review-g293734-d19048648-Reviews-Moroccan_Cooking_Classes_at_Dar_Chef-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d19048648-Reviews-Moroccan_Cooking_Classes_at_Dar_Chef-Marrakech_Marrakech_Safi.html
66,67. Xcursion Guide Marrakech,5.0,92,/Attraction_Review-g293734-d15752072-Reviews-Xcursion_Guide_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d15752072-Reviews-Xcursion_Guide_Marrakech-Marrakech_Marrakech_Safi.html
67,68. Monriad,5.0,85,/Attraction_Review-g293734-d18186384-Reviews-Monriad-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d18186384-Reviews-Monriad-Marrakech_Marrakech_Safi.html
68,69. Morocco Global Adventures,5.0,"6,797",/Attraction_Review-g293734-d13447459-Reviews-Morocco_Global_Adventures-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d13447459-Reviews-Morocco_Global_Adventures-Marrakech_Marrakech_Safi.html
69,70. Marrakech City Life,5.0,"5,672",/Attraction_Review-g293734-d15521258-Reviews-Marrakech_City_Life-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d15521258-Reviews-Marrakech_City_Life-Marrakech_Marrakech_Safi.html
70,71. Dunes & Desert,5.0,"3,062",/Attraction_Review-g293734-d1723070-Reviews-Dunes_Desert-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d1723070-Reviews-Dunes_Desert-Marrakech_Marrakech_Safi.html
71,72. cooking class with Mommy,5.0,104,/Attraction_Review-g293734-d23985418-Reviews-Cooking_class_with_Mommy-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d23985418-Reviews-Cooking_class_with_Mommy-Marrakech_Marrakech_Safi.html
72,73. Marrakech By Air,5.0,"1,721",/Attraction_Review-g293734-d1598688-Reviews-Marrakech_By_Air-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d1598688-Reviews-Marrakech_By_Air-Marrakech_Marrakech_Safi.html
73,74. Attractive Tours,5.0,"3,302",/Attraction_Review-g293734-d2092270-Reviews-Attractive_Tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d2092270-Reviews-Attractive_Tours-Marrakech_Marrakech_Safi.html
74,75. Sahara Tours 4x4,5.0,"2,267",/Attraction_Review-g293734-d2353510-Reviews-Sahara_Tours_4x4-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d2353510-Reviews-Sahara_Tours_4x4-Marrakech_Marrakech_Safi.html
75,76. Morocco Inspiring Tours,5.0,"2,746",/Attraction_Review-g293734-d8715716-Reviews-Morocco_Inspiring_Tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d8715716-Reviews-Morocco_Inspiring_Tours-Marrakech_Marrakech_Safi.html
76,77. Marrakech Tour Guide,5.0,"1,177",/Attraction_Review-g293734-d2355618-Reviews-Marrakech_Tour_Guide-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d2355618-Reviews-Marrakech_Tour_Guide-Marrakech_Marrakech_Safi.html
77,78. Ciel d'Afrique Hot Air Ballooning,5.0,"1,304",/Attraction_Review-g293734-d1439299-Reviews-Ciel_d_Afrique_Hot_Air_Ballooning-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d1439299-Reviews-Ciel_d_Afrique_Hot_Air_Ballooning-Marrakech_Marrakech_Safi.html
78,79. Venamarruecos,5.0,989,/Attraction_Review-g293734-d2374899-Reviews-Venamarruecos-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d2374899-Reviews-Venamarruecos-Marrakech_Marrakech_Safi.html
79,80. Marrakesh Travel Services,4.5,"4,014",/Attraction_Review-g293734-d8514036-Reviews-Marrakesh_Travel_Services-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d8514036-Reviews-Marrakesh_Travel_Services-Marrakech_Marrakech_Safi.html
80,81. Ando Travel,4.5,"2,739",/Attraction_Review-g293734-d7614339-Reviews-Ando_Travel-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d7614339-Reviews-Ando_Travel-Marrakech_Marrakech_Safi.html
81,82. Toubkal Guide,5.0,"1,304",/Attraction_Review-g293734-d2141452-Reviews-Toubkal_Guide-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d2141452-Reviews-Toubkal_Guide-Marrakech_Marrakech_Safi.html
82,83. Maroc Expedition Travel,5.0,"1,080",/Attraction_Review-g293734-d3685115-Reviews-Maroc_Expedition_Travel-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d3685115-Reviews-Maroc_Expedition_Travel-Marrakech_Marrakech_Safi.html
83,84. Marrakech Dream Ballooning,5.0,"1,585",/Attraction_Review-g293734-d15227697-Reviews-Marrakech_Dream_Ballooning-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d15227697-Reviews-Marrakech_Dream_Ballooning-Marrakech_Marrakech_Safi.html
84,85. Medloc Maroc,5.0,815,/Attraction_Review-g293734-d7603729-Reviews-Medloc_Maroc-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d7603729-Reviews-Medloc_Maroc-Marrakech_Marrakech_Safi.html
85,86. Morocco Tour Experience,5.0,"1,399",/Attraction_Review-g293734-d12345477-Reviews-Morocco_Tour_Experience-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d12345477-Reviews-Morocco_Tour_Experience-Marrakech_Marrakech_Safi.html
86,87. Tour Marocco,5.0,771,/Attraction_Review-g293734-d3716567-Reviews-Tour_Marocco-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d3716567-Reviews-Tour_Marocco-Marrakech_Marrakech_Safi.html
87,88. Marrakech Quad Evasion,5.0,"1,353",/Attraction_Review-g293734-d5993270-Reviews-Marrakech_Quad_Evasion-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d5993270-Reviews-Marrakech_Quad_Evasion-Marrakech_Marrakech_Safi.html
88,89. Tour in Marocco,5.0,743,/Attraction_Review-g293734-d2160691-Reviews-Tour_in_Marocco-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d2160691-Reviews-Tour_in_Marocco-Marrakech_Marrakech_Safi.html
89,90. Merzouga Tours - Viaggi in Marocco,5.0,893,/Attraction_Review-g293734-d7094585-Reviews-Merzouga_Tours_Viaggi_in_Marocco-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d7094585-Reviews-Merzouga_Tours_Viaggi_in_Marocco-Marrakech_Marrakech_Safi.html
90,91. Viajes Marruecos 4x4,5.0,814,/Attraction_Review-g293734-d2558016-Reviews-Viajes_Marruecos_4x4-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d2558016-Reviews-Viajes_Marruecos_4x4-Marrakech_Marrakech_Safi.html
91,92. Easy Take Travel,5.0,951,/Attraction_Review-g293734-d3983882-Reviews-Easy_Take_Travel-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d3983882-Reviews-Easy_Take_Travel-Marrakech_Marrakech_Safi.html
92,93. Morocco Tours Agency,5.0,634,/Attraction_Review-g293734-d15610477-Reviews-Morocco_Tours_Agency-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d15610477-Reviews-Morocco_Tours_Agency-Marrakech_Marrakech_Safi.html
93,94. Viaje En Marruecos,5.0,759,/Attraction_Review-g293734-d2437690-Reviews-Viaje_En_Marruecos-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d2437690-Reviews-Viaje_En_Marruecos-Marrakech_Marrakech_Safi.html
94,95. Chameau Marrakech,5.0,916,/Attraction_Review-g293734-d13505249-Reviews-Chameau_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d13505249-Reviews-Chameau_Marrakech-Marrakech_Marrakech_Safi.html
95,96. Marrakech Tours Trips,5.0,"1,040",/Attraction_Review-g293734-d8073490-Reviews-Marrakech_Tours_Trips-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d8073490-Reviews-Marrakech_Tours_Trips-Marrakech_Marrakech_Safi.html
